location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Evolve Ensnare\n(Queen ability),进化诱捕\n(后虫技能),,False,,,
,Infest Terran Command Center,感染人类指挥中心,,False,,,
,Spawn Broodlings,孵化巢虫,,False,,,
,Burrow:\n   Evolve at Hatchery,潜地：\n   在孵化场进化,,False,,,
,Infest:\n   Evolve at Queen's Nest,感染：\n   在后虫之巢进化,,False,,,
,Dark Swarm:\n   Evolve at Defiler Mound,黑暗虫群：\n   在蝎虫窝进化,,False,,,
,Parasite:\n   Evolve at Queen's Nest,寄生虫：\n   在后虫之巢进化,,False,,,
,Plague:\n   Evolve at Defiler Mound,瘟疫：\n   在蝎虫窝进化,,False,,,
,Consume:\n[5]Evolve at Defiler Mound,吞噬：\n[5]在蝎虫窝进化,,False,,,
,Stasis Field,静滞力场,,False,,,
,Archon Warp,执政官折跃,,False,,,
,Develop Psionic Storm\n(Templar ability),开发灵能风暴\n(圣堂武士技能),,False,,,
,Develop Hallucination\n(Templar ability),开发幻像\n(圣堂武士技能),,False,,,
,Develop Recall\n(Arbiter ability),开发召回\n(仲裁者技能),,False,,,
,Develop Stasis Field\n(Arbiter ability),开发静滞力场\n(仲裁者技能),,False,,,
,Develop Archon Warp\n(Templar ability),开发执政官折跃\n(圣堂武士技能),,False,,,
,Psionic Storm:\n   Develop at Templar Archives,灵能风暴：\n   在圣堂武士文献馆开发,,False,,,
,Stasis Field:\n   Develop at Arbiter Tribunal,静滞力场：\n   在仲裁者法庭开发,,False,,,
,Archon Warp:\n   Select 2 or more Templars,执政官折跃：\n   选择两名或以上圣堂武士,,False,,,
,Terran Infantry Armor,人类步兵护甲,,False,,,
,Terran Vehicle Plating,人类战车钢板,,False,,,
,Terran Ship Plating,人类舰船钢板,,False,,,
,Zerg Carapace,异虫甲壳,,False,,,
,Zerg Flyer Carapace,异虫飞行生物甲壳,,False,,,
,Protoss Armor,星灵护甲,,False,,,
,Protoss Plating,星灵护板,,False,,,
,Terran Ship Weapons,人类舰船武器,,False,,,
,Zerg Melee Attacks,异虫近战攻击,,False,,,
,Zerg Missile Attacks,异虫喷射攻击,,False,,,
,Zerg Flyer Attacks,异虫飞行生物攻击,,False,,,
,Protoss Ground Weapons,星灵地面单位武器,,False,,,
,Protoss Air Weapons,星灵空中单位武器,,False,,,
,Ion Thrusters,离子推进器,,False,,,
,Apollo Reactor,阿波罗反应堆,,False,,,
,Colossus Reactor,巨像反应堆,,False,,,
,Ventral Sacs,腹囊,,False,,,
,Antennae,触须,,False,,,
,Pneumatized Carapace,充气甲壳,,False,,,
,Metabolic Boost,代谢加速,,False,,,
,Adrenal Glands,肾上腺体,,False,,,
,Muscular Augments,肌腱扩增,,False,,,
,Metasynaptic Node,毒素间,,False,,,
,Singularity Charge,奇点充能,,False,,,
,Leg Enhancements,腿部强化,,False,,,
,Scarab Damage,金甲虫伤害,,False,,,
,Reaver Capacity,掠夺者容量,,False,,,
,Gravitic Drive,重力驱动器,,False,,,
,Sensor Array,感应器阵列,,False,,,
,Gravitic Boosters,重力加速器,,False,,,
,Carrier Capacity,航母容量,,False,,,
,Khaydarin Core,凯达琳核心,,False,,,
,Upgrade Infantry Armor,升级步兵护甲,,False,,,
,Upgrade Vehicle Plating,升级战车钢板,,False,,,
,Upgrade Ship Plating,升级舰船钢板,,False,,,
,Evolve Carapace,进化甲壳,,False,,,
,Evolve Flyer Carapace,进化飞行生物甲壳,,False,,,
,Upgrade Ground Armor,升级地面单位护甲,,False,,,
,Upgrade Melee Attacks,升级近战攻击,,False,,,
,Upgrade Missile Attacks,升级喷射攻击,,False,,,
,Upgrade Flyer Attacks,升级飞行生物攻击,,False,,,
,Upgrade Ground Weapons,升级地面单位武器,,False,,,
,Upgrade Air Weapons,升级空中单位武器,,False,,,
,Upgrade Plasma Shields,升级等离子护盾,,False,,,
,Research U-238 Shells\n(Increase Marine attack range),研究U-238炮弹\n(增加陆战队员的攻击射程),,False,,,
,Research Ion Thrusters\n(Faster Vulture movement),研究离子推进器\n(提高秃鹫的移动速度),,False,,,
,Research Burst Lasers\n(Wraith Weapon),研究脉冲激光炮\n(怨灵战机武器),,False,,,
,Research Titan Reactor\n(+50 Science Vessel energy),研究泰坦反应堆\n(+50科学船能量),,False,,,
,Research Ocular Implants\n(Increase Ghost sight range),研究目镜移植\n(扩大幽灵的视野范围),,False,,,
,Research Moebius Reactor\n(+50 Ghost energy),研究莫比斯反应堆\n(+50幽灵能量),,False,,,
,Research Colossus Reactor\n(+50 Battlecruiser energy),研究巨像反应堆\n(+50战列巡航舰能量),,False,,,
,Evolve Ventral Sacs\n(Transporting for Overlord),进化腹囊\n(王虫能够运输单位),,False,,,
,Evolve Antennae\n(Increase Overlord sight range),进化触须\n(扩大王虫的视野范围),,False,,,
,Evolve Pneumatized Carapace\n(Faster Overlord movement),进化充气甲壳\n(提高王虫的移动速度),,False,,,
,Evolve Metabolic Boost\n(Faster Zergling movement),进化代谢加速\n(提高跳虫的移动速度),,False,,,
,Evolve Adrenal Glands\n(Faster Zergling Attack),进化肾上腺体\n(提高跳虫的攻击速度),,False,,,
,Evolve Muscular Augments\n(Faster Hydralisk movement),进化肌腱扩增\n(提高刺蛇的移动速度),,False,,,
,Evolve Grooved Spines\n(Increase Hydralisk attack range),进化深槽脊刺\n(增加刺蛇的攻击射程),,False,,,
,Develop Singularity Charge\n(Increase Dragoon attack range),开发奇点充能\n(增加龙骑士的攻击射程),,False,,,
,Develop Leg Enhancements\n(Faster Zealot movement),开发腿部强化\n(提高狂热者的移动速度),,False,,,
,Increase Reaver Capacity\n(+5 Max Scarabs),增加掠夺者容量\n(+5最大金甲虫数量),,False,,,
,Develop Gravitic Drive\n(Faster Shuttle movement),开发重力驱动器\n(提高穿梭机的移动速度),,False,,,
,Develop Sensor Array\n(Increase Observer sight range),开发感应器阵列\n(扩大侦测器的视野范围),,False,,,
,Develop Gravitic Booster\n(Faster Observer movement),开发重力加速器\n(提高侦测器的移动速度),,False,,,
,Develop Khaydarin Amulet\n(+50 Templar energy),开发心能水晶坠饰\n(+50圣堂武士能量),,False,,,
,Increase Carrier Capacity\n(+4 Max Interceptors),增加航母容量\n(+4最大拦截机数量),,False,,,
,Develop Khaydarin Core\n(+50 Arbiter energy),开发凯达琳核心\n(+50仲裁者能量),,False,,,
,Infantry Armor L1 Require:\n   Nothing,1级步兵护甲需要：\n   无,,False,,,
,Infantry Armor L2 Require:\n   Science Facility,2级步兵护甲需要：\n   科学站,,False,,,
,Infantry Armor L3 Require:\n   Science Facility,3级步兵护甲需要：\n   科学站,,False,,,
,Infantry Weapons L1 Require:\n   Nothing,1级步兵武器需要：\n   无,,False,,,
,Infantry Weapons L3 Require:\n   Science Facility,3级步兵武器需要：\n   科学站,,False,,,
,Vehicle Weapons L2 Require:\n   Science Facility,2级战车武器需要：\n   科学站,,False,,,
,Vehicle Weapons L3 Require:\n   Science Facility,3级战车武器需要：\n   科学站,,False,,,
,Vehicle Plating L1 Requires:\n   Nothing,1级战车钢板需要：\n   无,,False,,,
,Vehicle Plating L2 Requires:\n   Science Facility,2级战车钢板需要：\n   科学站,,False,,,
,Ship Plating L1 Requires:\n   Nothing,1级舰船钢板需要：\n   无,,False,,,
,Ship Plating L2 Requires:\n   Science Facility,2级舰船钢板需要：\n   科学站,,False,,,
,Ship Plating L3 Requires:\n   Science Facility,3级舰船钢板需要：\n   科学站,,False,,,
,Melee Attacks L1 Require:\n   Nothing,1级近战攻击需要：\n   无,,False,,,
,Melee Attacks L2 Require:\n   Lair,2级近战攻击需要：\n   虫穴,,False,,,
,Melee Attacks L3 Require:\n   Hive,3级近战攻击需要：\n   主巢,,False,,,
,Missile Attacks L1 Require:\n   Nothing,1级喷射攻击需要：\n   无,,False,,,
,Missile Attacks L2 Require:\n   Lair,2级喷射攻击需要：\n   虫穴,,False,,,
,Carapace L3 Requires:\n   Hive,3级甲壳需要：\n   主巢,,False,,,
,Flyer Attacks L1 Require:\n   Nothing,1级飞行生物攻击需要：\n   无,,False,,,
,Flyer Attacks L2 Require:\n   Lair,2级飞行生物攻击需要：\n   虫穴,,False,,,
,Flyer Attacks L3 Require:\n   Hive,3级飞行生物攻击需要：\n   主巢,,False,,,
,Flyer Carapace L1 Requires:\n   Nothing,1级飞行生物甲壳需要：\n   无,,False,,,
,Flyer Carapace L2 Requires:\n   Lair,2级飞行生物甲壳需要：\n   虫穴,,False,,,
,Flyer Carapace L3 Requires:\n   Hive,3级飞行生物甲壳需要：\n   主巢,,False,,,
,Adrenal Glands Require:\n   Hive,肾上腺体需要：\n   主巢,,False,,,
,Ground Weapons L1 Require:\n   Nothing,1级地面单位武器需要：\n   无,,False,,,
,Air Weapons L2 Require:\n   Fleet Beacon,2级空中单位武器需要：\n   舰队航标,,False,,,
,Air Weapons L3 Require:\n   Fleet Beacon,3级空中单位武器需要：\n   舰队航标,,False,,,
,Ground Armor L1 Requires:\n   Nothing,1级地面单位护甲需要：\n   无,,False,,,
,Ground Armor L2 Requires:\n   Templar Archives,2级地面单位护甲需要：\n   圣堂武士文献馆,,False,,,
,Ground Armor L3 Requires:\n   Templar Archives,3级地面单位护甲需要：\n   圣堂武士文献馆,,False,,,
,Shields L2 Require:\n   Cybernetics Core,2级护盾需要：\n   控制芯核,,False,,,
,Shields L3 Require:\n   Cybernetics Core,3级护盾需要：\n   控制芯核,,False,,,
,Private,列兵,,False,,,
,Corporal,下士,,False,,,
,Specialist,专家,,False,,,
,Sergeant,中士,,False,,,
,First Sergeant,上士,,False,,,
,Master Sergeant,军士长,,False,,,
,Warrant Officer,准尉,,False,,,
,Captain,上尉,,False,,,
,Major,少校,,False,,,
,Lt Commander,上校,,False,,,
,Sergeant Major,军士长,,False,,,
,Colonel,上校,,False,,,
,Commodore,准将,,False,,,
,Lieutenant,中尉,,False,,,
,General,将军,,False,,,
,Captain Raynor,雷诺上尉,,False,,,
,General Duke,杜克将军,,False,,,
,Admiral,上将,,False,,,
,Interceptors,拦截机,,False,,,
,ESC,ESC,,False,,,
,Morph to Drone,变异为工蜂,,False,,,
,Morph to Overlord,变异为王虫,,False,,,
,Morph to Mutalisk,变异为异龙,,False,,,
,Guardian Aspect,守护者形态,,False,,,
,Morph to Queen,变异为后虫,,False,,,
,Morph to Defiler,变异为蝎虫,,False,,,
,Morph to Scourge,变异为爆蚊,,False,,,
,Train Infested Terran,训练被感染的人类,,False,,,
,Train Marine,训练陆战队员,,False,,,
,Train Ghost,训练幽灵,,False,,,
,Train Firebat,训练火蝠,,False,,,
,Build Goliath,建造歌利亚,,False,,,
,Build Siege Tank,建造攻城坦克,,False,,,
,Build SCV,建造SCV,,False,,,
,Build Wraith,建造怨灵战机,,False,,,
,Build Battlecruiser,建造战列巡航舰,,False,,,
,Build Observer,建造侦测器,,False,,,
,Build Probe,建造探机,,False,,,
,Warp in Zealot,折跃狂热者,,False,,,
,per rocket,每发火箭弹,,False,,,
,Warp in Dragoon,折跃龙骑士,,False,,,
,Warp in High Templar,折跃高阶圣堂武士,,False,,,
,Build Shuttle,建造穿梭机,,False,,,
,Build Scarab,建造金甲虫,,False,,,
,Hire Merc Biker,雇佣佣兵骑手,,False,,,
,Hire Merc Gunship,雇佣佣兵炮艇,,False,,,
,Hire Raider,雇佣突袭者,,False,,,
,Mutate into Hatchery,变异为孵化场,,False,,,
,Mutate into Creep Colony,变异为菌毯集群,,False,,,
,Mutate into Extractor,变异为萃取房,,False,,,
,Mutate into Spawning Pool,变异为分裂池,,False,,,
,Mutate into Evolution Chamber,变异为进化腔,,False,,,
,Mutate into Hydralisk Den,变异为刺蛇巢,,False,,,
,Mutate into Nydus Canal,变异为坑道虫通道,,False,,,
,Mutate into Spire,变异为尖塔,,False,,,
,Mutate into Queen's Nest,变异为后虫之巢,,False,,,
,Mutate into Defiler Mound,变异为蝎虫窝,,False,,,
,Mutate into Lair,变异为虫穴,,False,,,
,Mutate into Hive,变异为主巢,,False,,,
,Mutate into Greater Spire,变异为巨型尖塔,,False,,,
,Mutate into Spore Colony,变异为孢子集群,,False,,,
,Mutate into Sunken Colony,变异为潜隐集群,,False,,,
,Warp in Nexus,折跃星灵枢纽,,False,,,
,Warp in Pylon,折跃水晶塔,,False,,,
,Warp in Assimilator,折跃吸纳舱,,False,,,
,Warp in Gateway,折跃传送门,,False,,,
,Warp in Forge,折跃锻炉,,False,,,
,Warp in Photon Cannon,折跃光子炮台,,False,,,
,Warp in Cybernetics Core,折跃控制芯核,,False,,,
,Warp in Shield Battery,折跃护盾充能器,,False,,,
,Warp in Arbiter Tribunal,折跃仲裁者法庭,,False,,,
,Warp in Robotics Support Bay,折跃机械支持研究所,,False,,,
,Build Command Center,建造指挥中心,,False,,,
,Build Supply Depot,建造补给站,,False,,,
,Build Refinery,建造精炼厂,,False,,,
,Build Barracks,建造兵营,,False,,,
,Build Engineering Bay,建造工程站,,False,,,
,Build Missile Turret,建造导弹塔,,False,,,
,Build Academy,建造学院,,False,,,
,Build Bunker,建造地堡,,False,,,
,Build Factory,建造重工厂,,False,,,
,Build Starport,建造星港,,False,,,
,Build Science Facility,建造科学站,,False,,,
,Build Control Tower,建造控制塔,,False,,,
,Build Covert Ops,建造特战部,,False,,,
,Build Physics Lab,建造物理实验室,,False,,,
,Build Machine Shop,建造机械车间,,False,,,
,Move,移动,,False,,,
,Stop,停止,,False,,,
,Attack,攻击,,False,,,
,Patrol,巡逻,,False,,,
,Hold Position,原地防御,,False,,,
,Way Points,寻路点,,False,,,
,Land,着陆,,False,,,
,Recharge Shields,护盾充能,,False,,,
,Select Larva,选择幼虫,,False,,,
,Gather,采集,,False,,,
,Return Cargo,运回货物,,False,,,
,Repair,修理,,False,,,
,Advanced Morph,高级变异,,False,,,
,Load,装载,,False,,,
,Unload All,卸载全部,,False,,,
,Place COP,安置COP,,False,,,
,ESC - Cancel,ESC - 取消,,False,,,
,ESC - Cancel Construction,ESC - 取消建造,,False,,,
,ESC - Cancel Unit Training,ESC - 取消单位训练,,False,,,
,ESC - Cancel Upgrade,ESC - 取消升级,,False,,,
,ESC - Cancel Research,ESC - 取消研究,,False,,,
,ESC - Cancel Infestation,ESC - 取消感染,,False,,,
,ESC - Cancel Nuclear Strike,ESC - 取消聚变打击,,False,,,
,ESC - Halt Construction,ESC - 停止建造,,False,,,
,Ghost Requires:\n   Academy\n   Science Facility with\n   attached Covert Ops,幽灵需要：\n   学院\n   搭建了特战部的\n   科学站,,False,,,
,Firebat Requires:\n   Academy,火蝠需要：\n   学院,,False,,,
,Siege Tank Requires:\n   Attached Machine Shop,攻城坦克需要：\n   搭建了机械车间,,False,,,
,Science Vessel Requires:\n   Attached Control Tower\n   Science Facility,科学船需要：\n   搭建了控制塔\n   科学站,,False,,,
,Dropship Requires:\n   Attached Control Tower,运输船需要：\n   搭建了控制塔,,False,,,
,Battlecruiser Requires:\n   Attached Control Tower\n   Science Facility with\n   attached Physics Lab,战列巡航舰需要：\n   搭建了控制塔\n   搭建了物理实验室的\n   科学站,,False,,,
,Comsat Station Requires:\n   Academy,卫星站需要：\n   学院,,False,,,
,Nuclear Silo Requires:\n   Science Facility with\n   attached Covert Ops,核弹发射井需要：\n   搭建了特战部的\n   科学站,,False,,,
,Armory Requires:\n   Factory,军械库需要：\n   重工厂,,False,,,
,Missile Turret Requires:\n   Engineering Bay,导弹塔需要：\n   工程站,,False,,,
,Bunker Requires:\n   Barracks,地堡需要：\n   兵营,,False,,,
,Dragoon Requires:\n   Cybernetics Core,龙骑士需要：\n   控制芯核,,False,,,
,Templar Requires:\n   Templar Archives,圣堂武士需要：\n   圣堂武士文献馆,,False,,,
,Arbiter Requires:\n   Arbiter Tribunal,仲裁者需要：\n   仲裁者法庭,,False,,,
,Carrier Requires:\n   Fleet Beacon,航母需要：\n   舰队航标,,False,,,
,Reaver Requires:\n   Robotics Support Bay,掠夺者需要：\n   机械支持研究所,,False,,,
,Observer Requires:\n   Observatory,侦测器需要：\n   观测台,,False,,,
,Gateway Requires:\n   Nexus,传送门需要：\n   星灵枢纽,,False,,,
,Forge Requires:\n   Nexus,锻炉需要：\n   星灵枢纽,,False,,,
,Photon Cannon Requires:\n   Forge,光子炮台需要：\n   锻炉,,False,,,
,Shield Battery Requires:\n   Gateway,护盾充能器需要：\n   传送门,,False,,,
,Cybernetics Core Requires:\n   Gateway,控制芯核需要：\n   传送门,,False,,,
,Robotics Facility Requires:\n   Cybernetics Core,机械台需要：\n   控制芯核,,False,,,
,Citadel of Adun Requires:\n   Cybernetics Core,亚顿堡垒需要：\n   控制芯核,,False,,,
,Observatory Requires:\n   Robotics Facility,观测台需要：\n   机械台,,False,,,
,Robotics Support Bay Requires:\n   Robotics Facility,机械支持研究所需要：\n   机械台,,False,,,
,Fleet Beacon Requires:\n   Stargate,舰队航标需要：\n   星门,,False,,,
,Templar Archives Require:\n   Citadel of Adun,圣堂武士文献馆需要：\n   亚顿堡垒,,False,,,
,Mutalisk Requires:\n   Spire,异龙需要：\n   尖塔,,False,,,
,Guardian Aspect Requires:\n   Greater Spire,守护者形态需要：\n   巨型尖塔,,False,,,
,Queen Requires:\n   Queen's Nest,后虫需要:\n   后虫之巢,,False,,,
,Defiler Requires:\n   Defiler Mound,蝎虫需要：\n   蝎虫窝,,False,,,
,Scourge Require:\n   Spire,爆蚊需要：\n   尖塔,,False,,,
,Lair Requires:\n   Spawning Pool,虫穴需要：\n   分裂池,,False,,,
,Hive Requires:\n   Queen's Nest,主巢需要：\n   后虫之巢,,False,,,
,Nydus Canal Requires:\n   Hive,坑道虫通道需要：\n   主巢,,False,,,
,Hydralisk Den Requires:\n   Spawning Pool,刺蛇巢需要：\n   分裂池,,False,,,
,Spire Requires:\n   Lair,尖塔需要：\n   虫穴,,False,,,
,Greater Spire Requires:\n   Hive,巨型尖塔需要：\n   主巢,,False,,,
,Queen's Nest Requires:\n   Lair,后虫之巢需要：\n   虫穴,,False,,,
,Ultralisk Cavern Requires:\n   Hive,雷兽窟需要：\n   主巢,,False,,,
,Defiler Mound Requires:\n   Hive,蝎虫窝需要：\n   主巢,,False,,,
,Spawning Pool Requires:\n   Hatchery,分裂池需要：\n   孵化场,,False,,,
,Spore Colony Requires:\n   Evolution Chamber,孢子集群需要：\n   进化腔,,False,,,
,Sunken Colony Requires:\n   Spawning Pool,潜隐集群需要：\n   分裂池,,False,,,
,Carrier Attack:\n   Build Interceptors,航母攻击：\n   建造拦截机,,False,,,
,Reaver Attack:\n   Build Scarabs,掠夺者攻击：\n   建造金甲虫,,False,,,
,Nuclear Strike Requires:\n   Armed Nuclear Silo,聚变打击需要：\n   装备核弹发射井,,False,,,
,Not Implemented,无法执行,,False,,,
,mk,mk,,False,,,
,Kills:,消灭：,,False,,,
,Evolving,正在进化,,False,,,
,Upgrading,正在升级,,False,,,
,Researching,正在研发,,False,,,
,Developing,正在开发,,False,,,
,Morphing,正在变异,,False,,,
,Building,正在建造,,False,,,
,Opening Warp Gate,正在打开折跃门,,False,,,
,Damage:,伤害：,,False,,,
,Armor:,护甲：,,False,,,
,Shields:,护盾：,,False,,,
,Mining Delay:,采矿延迟：,,False,,,
,Current Order:,当前命令：,,False,,,
,Next Order:,下一命令：,,False,,,
,Order:,命令：,,False,,,
,Mutating,正在变异,,False,,,
,Adding On,添加中,,False,,,
,Opening Warp Rift,正在打开折跃裂隙,,False,,,
,Summoning,正在召唤,,False,,,
,Scarabs,金甲虫,,False,,,
,Nukes,核弹,,False,,,
,Next Level:,下一级：,,False,,,
,Minerals:,晶体矿：,,False,,,
,Vespene Gas:,高能瓦斯：,,False,,,
,Depleted,枯竭,,False,,,
,Under Construction,正在建造,,False,,,
,Cancel Morph (%s),取消变异 (%s),,False,,,
,Cancel Construction (%s),取消建造 (%s),,False,,,
,Cancel Warp (%s),取消折跃 (%s),,False,,,
,Cancel Upgrade,取消升级,,False,,,
,Cancel Research,取消研究,,False,,,
,Cancel Morph,取消变异,,False,,,
,Unload Unit (%s),卸载单位 (%s),,False,,,
,Click: Select Unit\nShift+Click: Deselect Unit\nCtrl+Click: Select Unit Type,点击：选择单位\nShift+点击：反选单位\nCtrl+点击：选择单位类型,,False,,,
,Show Terrain in Minimap (Tab),在小地图上显示地形(Tab),,False,,,
,Control Provided:,提供的控制：,,False,,,
,Supplies Provided:,提供的补给：,,False,,,
,Psi Provided:,提供的灵能：,,False,,,
,Total Control:,总计控制：,,False,,,
,Total Supplies:,总计补给：,,False,,,
,Total Psi:,总计灵能：,,False,,,
,Control Used:,已使用控制：,,False,,,
,Supplies Used:,已使用补给：,,False,,,
,Psi Used:,已使用灵能：,,False,,,
,Control Max:,最大控制：,,False,,,
,Supplies Max:,最大补给：,,False,,,
,Unpowered,无供能,,False,,,
,Detector,侦测单位,,False,,,
,Units,单位,,False,,,
,Resources,资源,,False,,,
,Kills,消灭,,False,,,
,Score,得分,,False,,,
,Units to go,剩余单位,,False,,,
,Nowhere to return to...can't return.,没有退路了……回不去了。,,False,,,
,Too many underlings...create more Overlords.,兵卒太多了……创造更多的王虫。,,False,,,
,Not enough supplies...build more Supply Depots.,补给不足……建造更多的补给站。,,False,,,
,Not enough psi...build more Pylons.,灵能不足……建造更多的水晶塔。,,False,,,
,Underling limit exceeded.,兵卒超过限制了。,,False,,,
,Supply limit exceeded.,补给超过限制了。,,False,,,
,Psi limit exceeded.,灵能超过限制了。,,False,,,
,Not enough minerals...mine more minerals.,晶体矿不足……开采更多的晶体矿。,,False,,,
,Not enough Vespene gases....harvest more gas.,高能瓦斯不足……采集更多的瓦斯。,,False,,,
,You can't build near the edge of the map.,无法建造在地图边缘。,,False,,,
,You can't build there.,你不能在那里建造。,,False,,,
,You must explore there first.,必须先进行探索。,,False,,,
,You must currently be able to see the location.,你必须能看到那个地点。,,False,,,
,"Could not build there, find a Vespene Geyser to build on.",无法在那里建造，需要找到一处瓦斯气泉才能建造。,,False,,,
,You must build on the Creep.,必须建造在菌毯上。,,False,,,
,You must build near a Pylon.,必须建造在水晶塔附近。,,False,,,
,Couldn't reach the building site.,无法到达建筑地点。,,False,,,
,You can't land there.,无法在那里登陆。,,False,,,
,Not enough energy.,能量不足。,,False,,,
,Nothing to harvest. Find a Mine or a Vespene Geyser.,没东西可收获。找到一处矿井或瓦斯气泉。,,False,,,
,"Nothing to harvest. Find a Mine, or build an Assimilator at a Vespene Geyser.",没东西可收获。找到一处晶体矿，或在瓦斯气泉上建造一座吸纳舱。,,False,,,
,Unit's waypoint list is full.,单位的寻路点列表已满。,,False,,,
,Unable to add order.,无法添加命令。,,False,,,
,"Running low on orders, your last order was not processed.",命令不足，你的上一个命令未被执行。,,False,,,
,Not enough life remaining.,剩余生命值不足。,,False,,,
,Morph an Extractor there first.,先在那里变异一座萃取房。,,False,,,
,Build a Refinery there first.,先在那里建造一座精炼厂。,,False,,,
,Must gather gases from your own geyser.,必须从自己的气泉中采集瓦斯。,,False,,,
,Units in stasis can't be targeted.,无法以处于静滞状态的单位为目标。,,False,,,
,Must target non-hovering ground units.,必须以非悬浮的地面单位为目标。,,False,,,
,Must target passable terrain.,必须以可通行的地形为目标。,,False,,,
,Guard,警戒,,False,,,
,Player Guard,玩家守卫,,False,,,
,Turret Guard,炮塔守卫,,False,,,
,Bunker Guard,地堡守卫,,False,,,
,Ignore,忽略,,False,,,
,Carrier Ignore,航母无视,,False,,,
,Carrier Stop,航母停止,,False,,,
,Reaver Stop,掠夺者停止,,False,,,
,Attack Unit,攻击单位,,False,,,
,Attack Fixed Range,攻击固定范围,,False,,,
,AI Patrol,AI巡逻,,False,,,
,Tower,防御塔,,False,,,
,Vulture Mine,秃鹫地雷,,False,,,
,Carrier Attack,航母攻击,,False,,,
,Carrier Attack Move,航母攻击移动,,False,,,
,Stay In Range,待在范围内,,False,,,
,Turret Attack,炮塔攻击,,False,,,
,Nothing,无,,False,,,
,Drone Start Build,工蜂开始建造,,False,,,
,Drone Build,工蜂建造,,False,,,
,Drone Attack Unit,工蜂攻击单位,,False,,,
,Infest Mine,感染矿井,,False,,,
,Build,建造,,False,,,
,Build Protoss,建造星灵,,False,,,
,Pylon Build,水晶塔建造,,False,,,
,Construct Building,建造建筑,,False,,,
,Place Add-On,安置附属建筑,,False,,,
,Build Add-On,建造附属建筑,,False,,,
,Morph,变异,,False,,,
,Zerg Building Morph,异虫建筑变异,,False,,,
,Build Self,自我建造,,False,,,
,Zerg Build Self,异虫自我建造,,False,,,
,Enter Nydus Canal,进入坑道虫通道,,False,,,
,Protoss Build Self,星灵自我建造,,False,,,
,Follow,跟随,,False,,,
,Carrier,航母,,False,,,
,Carrier Fight,航母战斗,,False,,,
,Reaver,掠夺者,,False,,,
,Reaver Attack,掠夺者攻击,,False,,,
,Building Land,建筑着陆,,False,,,
,Building Lift Off,建筑升空,,False,,,
,Drone Lift Off,无人机起飞,,False,,,
,Lift Off,升空,,False,,,
,Reasearch Tech,研究科技,,False,,,
,Upgrade,升级,,False,,,
,Larva,幼虫,,False,,,
,Spawning Larva,孵化幼虫,,False,,,
,Harvest,采集,,False,,,
,Harvest Gas,采集瓦斯,,False,,,
,Return Gas,送回瓦斯,,False,,,
,Harvest Minerals,采集晶体矿,,False,,,
,Return Minerals,送回矿物,,False,,,
,Enter Transport,进入运输机,,False,,,
,Pick Up,拾取,,False,,,
,Powerup,能量提升,,False,,,
,Watch Target,警戒目标,,False,,,
,Initing Creep Growth,开始菌毯生长,,False,,,
,Stopping Creep Growth,停止菌毯生长,,False,,,
,Spread Creep,菌毯蔓延,,False,,,
,Warping Archon,正在折跃执政官,,False,,,
,Completing Archon Summon,正在完成执政官召唤,,False,,,
,Decloak,取消隐形,,False,,,
,Unload,卸载,,False,,,
,Burrowed,已潜地,,False,,,
,Unburrow,出地,,False,,,
,Cast Parasite,施放寄生虫,,False,,,
,Summon Broodlings,召唤巢虫,,False,,,
,Nuke Wait,核弹等待,,False,,,
,Nuke Train,核弹训练,,False,,,
,Nuke Launch,聚变打击,,False,,,
,Nuke Paint,核弹涂装,,False,,,
,Nuke Unit,核弹单位,,False,,,
,Nuke Ground,核弹着陆,,False,,,
,Left Click Action,左键点击行动,,False,,,
,Sap Unit,交换单位,,False,,,
,Sap Location,交换地点,,False,,,
,Teleport,传送,,False,,,
,Teleport to Location,传送至地点,,False,,,
,Place Scanner,安置扫描器,,False,,,
,Scanner,扫描仪,,False,,,
,Reset Collision,重置碰撞,,False,,,
,Computer AI,电脑AI,,False,,,
,Guard Post,警戒哨,,False,,,
,Rescue Passive,被动营救,,False,,,
,Neutral,中立,,False,,,
,Computer Return,电脑返回,,False,,,
,Initing Psi Provider,初始化灵能供给者,,False,,,
,Self Destructing,自我摧毁,,False,,,
,Decaying creep,衰减菌毯,,False,,,
,Shield Battery,护盾充能器,,False,,,
,Rally Point,集结点,,False,,,
,CTF COP Init,CTF COP 初始化,,False,,,
,CTF COP,CTF COP,,False,,,
,Enable Doodad,开启小装置,,False,,,
,Disable Doodad,关闭小装置,,False,,,
,Warp In,折跃,,False,,,
,Hide and Suicide,隐藏和自杀,,False,,,
,Fatal,致命,,False,,,
,Nuclear launch detected.,侦测到在途的聚变打击。,,False,,,
,Structure,建筑,,False,,,
,Cliff,悬崖,,False,,,
,Grass,草地,,False,,,
,Dirt,尘土,,False,,,
,Water,水体,,False,,,
,Jungle,丛林,,False,,,
,Platform,平台,,False,,,
,Floor,地板,,False,,,
,Wall,城墙,,False,,,
,Tar,焦油,,False,,,
,Snow,雪,,False,,,
,Ice,冰块,,False,,,
,Outpost,Outpost,,False,,,
,Mud,泥土,,False,,,
,Halo Rockets,光晕火箭,,False,,,
,Corrosive Acid,腐蚀强酸,,False,,,
,Optical Flare,眩光弹,,False,,,
,Research Restoration\n(Medic ability),研究恢复\n(医疗兵技能),,False,,,
